ENSID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,RNAlater.v.LN
ENSAMXG00000014068,656.952990562805,1.37129314312573,0.217156346489414,6.31477350440956,2.70557432051356e-10,4.21222393960358e-08,Up
ENSAMXG00000028242,59.4442504021552,2.21629322641138,0.351433273225818,6.30644106651585,2.85524625710352e-10,4.40079105607365e-08,Up
ENSAMXG00000020536,79.4725051051807,-2.01021452306187,0.318962325202159,-6.30235725108848,2.93152496409005e-10,4.4736231952e-08,Down
ENSAMXG00000011166,880.461444007197,-0.94770422797705,0.151089147019121,-6.27248380624661,3.55333421514919e-10,5.36936669197005e-08,Down
ENSAMXG00000013470,113.168539619508,1.67736402231018,0.267515342306751,6.27016008818965,3.60677088607156e-10,5.39719996767194e-08,Up
ENSAMXG00000003000,66.5941653546727,-2.17189815294753,0.34658038196027,-6.26665058380743,3.68896644940137e-10,5.45180132517584e-08,Down
ENSAMXG00000019884,1417.36866864134,-1.43422851520652,0.229012814061204,-6.26265617968093,3.78474496719532e-10,5.45180132517584e-08,Down
ENSAMXG00000020261,283.627000046069,1.59282343437232,0.25429661157782,6.26364395691085,3.76083635684071e-10,5.45180132517584e-08,Up
ENSAMXG00000025366,72.6800113693375,-1.79948036865209,0.287230269269405,-6.26493987987136,3.72969275623952e-10,5.45180132517584e-08,Down
ENSAMXG00000025081,13.6812087609899,-7.00555274351834,1.12157438769896,-6.24617753432392,4.20619070152372e-10,6.00277937801714e-08,Down
ENSAMXG00000018976,76.4420696457149,-2.92849004216895,0.469291980592767,-6.24023031135104,4.36927093628401e-10,6.17830944412344e-08,Down
ENSAMXG00000004596,393.553589325084,-1.31559723884917,0.210970779880495,-6.23592157925561,4.49126066360078e-10,6.18069648286418e-08,Down
ENSAMXG00000015278,58.9700940493426,-2.73957143448584,0.439273916226929,-6.23659027610139,4.47211278716064e-10,6.18069648286418e-08,Down
ENSAMXG00000025714,259.088992515515,-1.5516037957782,0.248806306772302,-6.23619158174382,4.48351963362659e-10,6.18069648286418e-08,Down
ENSAMXG00000020498,39.7114336259452,-2.37614416332434,0.381138317168886,-6.23433555821532,4.53699630083777e-10,6.18838265352323e-08,Down
ENSAMXG00000003191,382.858910227356,-1.13945347339235,0.183110647435381,-6.22275924066328,4.8848669360671e-10,6.60442579698265e-08,Down
ENSAMXG00000010222,13.2412446825001,-6.96219920692845,1.11959016660069,-6.21852479114492,5.01850665724499e-10,6.72610809635801e-08,Down
ENSAMXG00000000460,640.63742824523,-0.794484401566628,0.128399486892287,-6.18759794759235,6.10878905157444e-10,7.97921742812854e-08,Down
ENSAMXG00000006130,57.8621933239743,2.35090308922207,0.379832826875013,6.18930993554081,6.04281653255448e-10,7.97921742812854e-08,Up
ENSAMXG00000010171,185.713972994233,1.29764454931485,0.209693085607585,6.18830394695624,6.08149821617076e-10,7.97921742812854e-08,Up
ENSAMXG00000024846,148.046997473274,-1.47841403866988,0.23937533390537,-6.17613358297947,6.56904129590491e-10,8.50828852888928e-08,Down
ENSAMXG00000025884,219.888108893029,-1.65036842375108,0.267643672394234,-6.1662897126898,6.99109461539539e-10,8.97947844225742e-08,Down
ENSAMXG00000015131,157.647211781932,-1.72067273455534,0.279941011438339,-6.1465546820543,7.91840325648699e-10,1.0086475156383e-07,Down
ENSAMXG00000007274,549.559171401278,-2.04443139164206,0.332992777230672,-6.13956677572569,8.27468354569867e-10,1.04539096303159e-07,Down
ENSAMXG00000007263,206.091494242714,-1.78859119220731,0.291730031615542,-6.13098069575647,8.73390037966998e-10,1.09443582562483e-07,Down
ENSAMXG00000016952,227.650414805294,1.96973731958941,0.321436823150369,6.12791434498457,8.90384942058609e-10,1.1067341219314e-07,Up
ENSAMXG00000004674,69.6469031246693,-1.94915230112209,0.318247556754315,-6.12464183857607,9.08878183418428e-10,1.12068315528226e-07,Down
ENSAMXG00000002455,1994.69284435867,0.94571187636611,0.154556204013935,6.11888653968782,9.42314659703418e-10,1.15269014682609e-07,Up
ENSAMXG00000024959,194.021315085821,-1.56580468839668,0.255993450908151,-6.11658104081141,9.56042779551538e-10,1.16027459537227e-07,Down
ENSAMXG00000009141,622.611392801712,0.845136966521855,0.138359975428406,6.10824744587474,1.00731098013476e-09,1.21294407318884e-07,Up
ENSAMXG00000020288,290.054517316801,1.55236233111295,0.254846303287733,6.09136687911955,1.11950657054642e-09,1.33759339316527e-07,Up
ENSAMXG00000000765,291.511783767404,-1.38324843634278,0.227388091616291,-6.08320526598624,1.17803370745432e-09,1.39669488715334e-07,Down
ENSAMXG00000003863,1478.88991351205,1.18357289225356,0.194680581740702,6.07956315761362,1.20510408752499e-09,1.41788315274982e-07,Up
ENSAMXG00000015412,243.436389492179,1.24048265292033,0.204443765004973,6.06759835835618,1.29837104338698e-09,1.51604491603967e-07,Up
ENSAMXG00000028829,1163.04814243436,13.8851910971696,2.29074728587219,6.06142422728347,1.34921447063717e-09,1.56356711548351e-07,Up
ENSAMXG00000013839,11.7393254526477,-6.78638198920738,1.12014443357681,-6.05848833934506,1.374067065746e-09,1.58048475256291e-07,Down
ENSAMXG00000020291,335.704654318607,2.11549575772957,0.349915807173918,6.04572789899176,1.48736938465818e-09,1.69813513523974e-07,Up
ENSAMXG00000015606,288.001273675239,-1.19523900285153,0.198169012069331,-6.0314122292408,1.62532993962878e-09,1.84200076172782e-07,Down
ENSAMXG00000019967,3131.5425559642,-1.10230499154565,0.182915552170621,-6.02630546426929,1.67750003900151e-09,1.88724876650586e-07,Down
ENSAMXG00000002009,180.700668527473,1.91591922275858,0.318360866485734,6.01807390433281,1.76504611978955e-09,1.94318970316545e-07,Up
ENSAMXG00000013170,586.24261278389,1.31459967965362,0.218418359819485,6.01872333781871,1.75798036909507e-09,1.94318970316545e-07,Up
ENSAMXG00000015393,140.529156242981,-1.5545204841079,0.258256014889757,-6.01930020786344,1.75172721902264e-09,1.94318970316545e-07,Down
ENSAMXG00000020813,741.433044376243,1.12933156023785,0.187774622582942,6.01429279794724,1.80673694366422e-09,1.97498131295721e-07,Up
ENSAMXG00000021474,521.891291276894,-1.08433551404445,0.180491737161189,-6.00767398607328,1.88203797423286e-09,2.04280642935571e-07,Down
ENSAMXG00000010768,304.683134499494,-1.32983993674546,0.221442391635301,-6.00535392941207,1.90914977260917e-09,2.04345315591841e-07,Down
ENSAMXG00000015583,24.5296424884645,-5.4974310329368,0.915276130858715,-6.00630874944711,1.8979461365201e-09,2.04345315591841e-07,Down
ENSAMXG00000016887,198.798528818268,-1.40638271676911,0.234744133066174,-5.99113042102167,2.08387434094111e-09,2.2150865666845e-07,Down
ENSAMXG00000016066,11.6772146327672,-6.78213517871469,1.13468528972921,-5.97710681552349,2.27135279022078e-09,2.39783291477211e-07,Down
ENSAMXG00000013792,85.9707547753533,-1.85289029570031,0.310312074285587,-5.9710544617579,2.35725030870827e-09,2.47158496653881e-07,Down
ENSAMXG00000025935,26.0616237371582,-3.38906216597134,0.567920772051528,-5.96749112332846,2.40929390914915e-09,2.50908425822405e-07,Down
ENSAMXG00000016416,372.9639723168,1.33787944668508,0.224857051441081,5.94991101284475,2.68288312200026e-09,2.77525352747584e-07,Up
ENSAMXG00000014988,150.218984422219,2.50530030436252,0.421743721212221,5.94033812088894,2.84434804292466e-09,2.92266242570651e-07,Up
ENSAMXG00000005890,5998.47972485755,-1.09991930131317,0.185195039430419,-5.93924818232743,2.86332121847136e-09,2.92267350598007e-07,Down
ENSAMXG00000013866,41.8854351707334,-3.00397475541616,0.506770823020534,-5.92767898023688,3.07246391558167e-09,3.1155188375566e-07,Down
ENSAMXG00000017916,154.002375100216,1.65936908517424,0.280385709607764,5.91816568503278,3.25551931468158e-09,3.27956334622139e-07,Up
ENSAMXG00000008037,74.6402880825993,2.2189306418257,0.375058464701615,5.91622600383385,3.29412502166339e-09,3.29387625277741e-07,Up
ENSAMXG00000026476,28.9556892526731,-2.92742207792061,0.494888863314387,-5.91531209313335,3.3124688197009e-09,3.29387625277741e-07,Down
ENSAMXG00000024806,219.482748163415,1.79933371097656,0.305053643313457,5.89841737811227,3.67004658410866e-09,3.62605307697864e-07,Up
ENSAMXG00000008602,95.2367059376133,-1.35254401175946,0.229520472468563,-5.89291228452274,3.79447853436555e-09,3.70153782596052e-07,Down
ENSAMXG00000008940,273.248787488049,-1.39890001946563,0.237374001333047,-5.89323182660978,3.78714498798806e-09,3.70153782596052e-07,Down
ENSAMXG00000015752,368.667151504717,2.10803776679193,0.358235640613376,5.88450038969467,3.99258198364391e-09,3.87029346628324e-07,Up
ENSAMXG00000004028,36.8925564342833,-2.49869462622805,0.424948607384623,-5.87999250452059,4.10285060775723e-09,3.95232727608514e-07,Down
ENSAMXG00000011920,955.938949744282,-1.61584500712151,0.275038951864627,-5.87496787697483,4.22925350544336e-09,4.0487878434409e-07,Down
ENSAMXG00000007471,58.2278671456274,-2.00658608567374,0.341652484040829,-5.87317868127644,4.27517240086867e-09,4.06748347003634e-07,Down
ENSAMXG00000012454,42.9555287475129,-1.84403275365983,0.314099342367284,-5.87085837162803,4.33544525687821e-09,4.09952256099778e-07,Down
ENSAMXG00000013233,194.224392677036,1.4347071767877,0.24442663348467,5.8696843152229,4.36625707583779e-09,4.10348294572487e-07,Up
ENSAMXG00000008270,77.1526110780909,-1.88789976918565,0.321951676440983,-5.86392277889479,4.52057778134169e-09,4.22276759659512e-07,Down
ENSAMXG00000017602,78.9728545503064,-2.34858219110752,0.40072740362554,-5.86079756427679,4.60649271224846e-09,4.2771007333666e-07,Down
