,CHOY.16.01,CHOY.16.04,CHOY.16.05,CHOY.16.08,CHOY.16.11,CHOY.16.12,CHOY.16.R.01,CHOY.16.R.03,CHOY.16.R.04,CHOY.16.R.05,CHOY.16.R.2
ENSAMXG00000000160,6.95971254561236,6.75197127291681,6.82536435156621,7.43793920056712,7.01175217407265,6.77791396715471,6.64163356115228,6.99122964285273,6.13354150223728,6.75543365372965,6.41912803124458
ENSAMXG00000000161,8.08888185503447,8.25056850309637,8.296086298698,7.9298956056846,8.09784066586035,8.63441803717252,8.61351742490064,8.47066811231067,8.35721806804604,8.6884371737415,8.70309294137615
ENSAMXG00000000162,8.88314587404086,8.88111216177566,8.25335116011309,7.83059005891365,8.62994989001993,8.55810436961153,8.84743205101783,8.61425497717867,8.78389342284843,8.94874488224653,8.22074733537868
ENSAMXG00000000163,7.39422805869641,7.33926228957398,7.72205937868477,7.60616386798724,7.46867522812959,6.89830331624993,7.09395544089293,7.42116762244005,7.17573635671026,7.07327989699419,7.51133486631143
ENSAMXG00000000164,6.90138456052944,7.31866966339312,7.01468307863095,7.73909643694904,7.35340491015351,7.61479687825749,6.31422274520445,6.62545211334837,5.57604768444611,6.26939406564582,6.44432939118653
ENSAMXG00000000165,6.76243109745644,6.99817329783616,7.05722775658626,7.1193874617075,7.02640818252649,7.0288019780562,7.06282678476347,6.99122964285273,7.43581765829528,7.30986824085304,7.52019445700689
ENSAMXG00000000166,7.77758034324028,7.76729496918786,7.93723277494983,7.47731626404197,7.80908122790727,7.86367884991878,8.07642145351678,8.36599539491324,7.97027404334112,8.25971777220523,7.76819207269476
ENSAMXG00000000167,11.0881351418518,11.1571196302076,11.4658538413526,9.07506989825239,11.3512770118832,13.1199361309168,11.3869193316868,11.2792075511456,5.57604768444611,11.3607825441114,11.3203337899204
ENSAMXG00000000169,9.85227338760915,9.59567400103623,10.1887302772625,9.2828047697918,10.1321900657667,9.81846631581732,9.61684578266287,9.925563702215,10.2006450457306,9.7713739764657,10.0225808654095
ENSAMXG00000000170,6.91133217073319,7.1275238490775,6.23338757857848,6.49460115380827,6.78203515361815,6.65692782305988,6.54047800773869,6.23554629683605,5.57604768444611,6.29960650741396,5.57604768444611
ENSAMXG00000000171,9.77043572289341,10.3068726346893,10.136502744862,11.0715783237112,10.6533261748073,9.6845834928319,9.8361445665235,9.87177474951022,10.2373704601125,9.34754760647983,10.3212414107153
