"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSAMXG00000000863",78.2713295949393,1.58990695566928,0.274828044074982,5.78509722696097,7.24704018274848e-09,6.65479595448053e-07
"ENSAMXG00000002874",992.935872720953,0.994007527969374,0.171857246136359,5.78391397695669,7.29822734389881e-09,6.66477346780682e-07
"ENSAMXG00000010834",135.786380991729,3.21710462646436,0.556530813825175,5.78064061601981,7.4416707915695e-09,6.72879705173397e-07
"ENSAMXG00000019988",13.6106916496964,-7.00627715844492,1.21206263848413,-5.78045798623689,7.44975413193367e-09,6.72879705173397e-07
"ENSAMXG00000018142",31.9458016004928,-3.80748610655217,0.659049769261223,-5.77723608160923,7.59377016861993e-09,6.79382262397431e-07
"ENSAMXG00000025519",169.105430740227,-1.66519090651429,0.28824439399514,-5.77701055494722,7.60395175410036e-09,6.79382262397431e-07
"ENSAMXG00000019437",11.229888135301,-6.72816368525866,1.1671927689796,-5.76439801896705,8.19498119097423e-09,7.28251850030177e-07
"ENSAMXG00000010547",412.461689034507,-1.26981939346259,0.221034230470477,-5.7448992889461,9.19757122544942e-09,8.12976763558575e-07
"ENSAMXG00000011136",281.946309846602,1.83774269268896,0.320412470186005,5.73555296278612,9.71947129167361e-09,8.54537983936559e-07
"ENSAMXG00000016673",346.331757530521,1.72090977389429,0.30089215776959,5.71935734932674,1.06927701537264e-08,9.35136496671655e-07
"ENSAMXG00000008734",128.853249521397,-1.48823356505591,0.260641742958721,-5.70988187909567,1.13054610865029e-08,9.83515612098983e-07
"ENSAMXG00000003596",836.69297335617,-1.13570968649607,0.198975112961129,-5.70779767175174,1.14447350597281e-08,9.90418983257827e-07
"ENSAMXG00000017900",387.179407658603,1.39861604730891,0.245209741726841,5.70375400854563,1.17197177165391e-08,1.00893340696185e-06
"ENSAMXG00000012954",251.787967742349,1.53729158903523,0.269990471790973,5.69387348685921,1.24189120809619e-08,1.06358651702704e-06
"ENSAMXG00000007727",41.6493850032027,-3.2370893623375,0.569429296901107,-5.68479595263902,1.30968935797776e-08,1.11586883494919e-06
"ENSAMXG00000017443",20.6051234377818,-5.87971798581581,1.03599252890951,-5.67544438955059,1.38329077167035e-08,1.17253400845843e-06
"ENSAMXG00000020071",728.471148303444,-1.08580550692566,0.19140934733429,-5.67268799589675,1.40574118140892e-08,1.18548448915857e-06
"ENSAMXG00000018825",67.5679493136252,-1.41133233188111,0.248992913541799,-5.66816264690275,1.44336920237144e-08,1.21103804802018e-06
"ENSAMXG00000021334",159.269935285224,1.53755983668858,0.271783780047249,5.65729064634131,1.53781221200416e-08,1.27841070805955e-06
"ENSAMXG00000009066",261.456349664929,1.25477178279004,0.221803089208163,5.65714295174868,1.53913564585789e-08,1.27841070805955e-06
"ENSAMXG00000019585",10.3837995367494,-6.61204812062397,1.17160435636694,-5.64358444443435,1.66545781010767e-08,1.37641760716348e-06
"ENSAMXG00000017341",349.131514644384,-1.03115299633614,0.183430653236572,-5.62148680246075,1.89320963987228e-08,1.55685881280841e-06
"ENSAMXG00000018189",12.0501703299407,-6.82681579831645,1.2148737864293,-5.61936217126018,1.91663707256664e-08,1.56832149368584e-06
"ENSAMXG00000013184",540.259778958326,1.00166587290777,0.178357619994026,5.61605314615277,1.95368592139017e-08,1.59076229530335e-06
"ENSAMXG00000016925",481.858761977828,-1.00461019948198,0.179544473267822,-5.59532789396103,2.20205195266916e-08,1.78420180027787e-06
