gene_id,CHOY-16-01,CHOY-16-04,CHOY-16-05,CHOY-16-08,CHOY-16-11,CHOY-16-12,CHOY-16-R-01,CHOY-16-R-03,CHOY-16-R-04,CHOY-16-R-05,CHOY-16-R-2
ENSAMXG00000000248,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000249,20,7,0,7,0,0,7,0,10,7,0
ENSAMXG00000000250,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000251,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000252,13,5,9,32,14,8,0,0,0,5,0
ENSAMXG00000000253,60,64,35,118,55,45,70,52,36,55,42
ENSAMXG00000000254,12,0,4,0,0,0,0,2,0,0,0
ENSAMXG00000000255,363,246,201,247,353,260,307,221,204,307,298
ENSAMXG00000000256,0,5,10,29,5,0,0,7,0,0,0
ENSAMXG00000000257,0,0,0,0,0,0,0,4,0,0,0
ENSAMXG00000000258,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000259,0,0,0,12,0,0,0,0,10,0,0
ENSAMXG00000000260,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000261,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000262,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000263,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000264,11,14,6,10,6,5,0,5,5,0,3
ENSAMXG00000000265,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000266,146,188,143,163,146,170,198,162,87,129,144
ENSAMXG00000000267,0,0,0,0,0,0,0,0,0,0,13
ENSAMXG00000000268,0,7,0,0,13,10,0,0,0,8,0
ENSAMXG00000000269,48,39,16,23,23,16,12,0,22,15,16
ENSAMXG00000000270,1302,554,79,182,771,650,733,431,39,228,76
ENSAMXG00000000271,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000272,0,0,0,0,0,0,0,0,0,310,0
ENSAMXG00000000273,24,64,33,148,34,20,69,78,6,36,67
ENSAMXG00000000274,42,35,9,34,31,24,6,5,0,35,17
ENSAMXG00000000275,569,344,325,374,174,264,274,159,113,151,191
ENSAMXG00000000276,0,18,12,47,12,8,24,29,9,16,16
ENSAMXG00000000277,16,25,8,12,0,6,4,9,7,7,0
ENSAMXG00000000278,534,280,409,354,352,405,211,134,86,141,125
ENSAMXG00000000279,140,309,243,258,273,391,177,415,245,432,124
